file,seed,env_dim,planner,pair_index,num_test_positions,num_vertices,num_edges,discrete_path_cost,continuous_path_cost
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.43.pkl,10,2,PRM,43,13982,10,27,14.400254643914522,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.44.pkl,10,2,PRM,44,5178,5,8,27.116174406627728,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.45.pkl,10,2,PRM,45,5526,5,8,22.562806315998955,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.46.pkl,10,2,PRM,46,5666,5,8,29.915972593607428,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.47.pkl,10,2,PRM,47,5686,5,8,9.60841533655887,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.48.pkl,10,2,PRM,48,5770,5,8,30.857097981118564,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.49.pkl,10,2,PRM,49,14164,10,27,14.241023248475393,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.50.pkl,10,2,PRM,50,13924,10,27,21.260915371740214,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.51.pkl,10,2,PRM,51,5397,5,8,9.841255937918909,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.52.pkl,10,2,PRM,52,5516,5,8,17.126136597445537,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.53.pkl,10,2,PRM,53,14097,10,27,20.148885873323486,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.54.pkl,10,2,PRM,54,5325,5,8,18.772891840999264,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.55.pkl,10,2,PRM,55,14226,10,27,31.160732521672287,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.56.pkl,10,2,PRM,56,5406,5,8,14.056680929043715,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.57.pkl,10,2,PRM,57,5227,5,8,3.548896831201106,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.58.pkl,10,2,PRM,58,5476,5,8,13.665670706088568,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.59.pkl,10,2,PRM,59,13701,10,27,13.49166796064399,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.60.pkl,10,2,PRM,60,5862,5,8,15.96938798711804,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.61.pkl,10,2,PRM,61,13969,10,27,14.586800226760365,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.62.pkl,10,2,PRM,62,13723,10,27,38.99394119263839,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.63.pkl,10,2,PRM,63,5381,5,8,26.201279033097368,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.64.pkl,10,2,PRM,64,13781,10,27,14.319462307487658,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.65.pkl,10,2,PRM,65,13546,10,27,13.506974647253283,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.66.pkl,10,2,PRM,66,14112,10,27,17.957407352904738,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.67.pkl,10,2,PRM,67,5159,5,8,26.787794446415536,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.68.pkl,10,2,PRM,68,5586,5,8,7.390688307975735,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.69.pkl,10,2,PRM,69,13877,10,27,12.882678254281583,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.70.pkl,10,2,PRM,70,5368,5,8,13.551195024170905,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.71.pkl,10,2,PRM,71,5375,5,8,10.632078266536746,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.72.pkl,10,2,PRM,72,4638,5,8,8.412587060657765,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.73.pkl,10,2,PRM,73,14044,10,27,14.029069389541295,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.74.pkl,10,2,PRM,74,13962,10,27,14.127521266046791,inf
